City,Borough,Year,RentPrice
All Upper East Side,Manhattan,2013,2795
All Upper East Side,Manhattan,2013,2800
All Upper East Side,Manhattan,2013,2795
All Upper East Side,Manhattan,2013,2750
All Upper East Side,Manhattan,2013,2750
All Upper East Side,Manhattan,2013,2750
All Upper East Side,Manhattan,2013,2750
All Upper East Side,Manhattan,2013,2800
All Upper East Side,Manhattan,2013,2895
All Upper East Side,Manhattan,2013,2850
All Upper East Side,Manhattan,2013,2800
All Upper East Side,Manhattan,2013,2800
All Upper East Side,Manhattan,2014,2700
All Upper East Side,Manhattan,2014,2795
All Upper East Side,Manhattan,2014,2700
All Upper East Side,Manhattan,2014,2700
All Upper East Side,Manhattan,2014,2700
All Upper East Side,Manhattan,2014,2700
All Upper East Side,Manhattan,2014,2725
All Upper East Side,Manhattan,2014,2700
All Upper East Side,Manhattan,2014,2750
All Upper East Side,Manhattan,2014,2750
All Upper East Side,Manhattan,2014,2800
All Upper East Side,Manhattan,2014,2849
All Upper East Side,Manhattan,2015,2850
All Upper East Side,Manhattan,2015,2900
All Upper East Side,Manhattan,2015,2900
All Upper East Side,Manhattan,2015,2875
All Upper East Side,Manhattan,2015,2950
All Upper East Side,Manhattan,2015,2995
All Upper East Side,Manhattan,2015,2950
All Upper East Side,Manhattan,2015,2995
All Upper East Side,Manhattan,2015,3050
All Upper East Side,Manhattan,2015,2999
All Upper East Side,Manhattan,2015,2900
All Upper East Side,Manhattan,2015,2973
All Upper East Side,Manhattan,2016,2995
All Upper East Side,Manhattan,2016,2979
All Upper East Side,Manhattan,2016,3000
All Upper East Side,Manhattan,2016,3000
All Upper East Side,Manhattan,2016,3000
All Upper East Side,Manhattan,2016,2995
All Upper East Side,Manhattan,2016,2990
All Upper East Side,Manhattan,2016,2925
All Upper East Side,Manhattan,2016,2950
All Upper East Side,Manhattan,2016,2950
All Upper East Side,Manhattan,2016,2975
All Upper East Side,Manhattan,2016,3000
All Upper East Side,Manhattan,2017,2995
All Upper East Side,Manhattan,2017,2995
All Upper East Side,Manhattan,2017,2925
All Upper East Side,Manhattan,2017,2950
All Upper East Side,Manhattan,2017,2950
All Upper East Side,Manhattan,2017,2950
All Upper East Side,Manhattan,2017,2950
All Upper East Side,Manhattan,2017,2900
All Upper East Side,Manhattan,2017,2995
All Upper East Side,Manhattan,2017,2950
All Upper East Side,Manhattan,2017,2995
All Upper East Side,Manhattan,2017,2990
All Upper East Side,Manhattan,2018,2900
All Upper East Side,Manhattan,2018,2895
All Upper East Side,Manhattan,2018,2850
All Upper East Side,Manhattan,2018,2850
All Upper East Side,Manhattan,2018,2850
All Upper East Side,Manhattan,2018,2900
All Upper East Side,Manhattan,2018,2923
All Upper East Side,Manhattan,2018,2900
All Upper East Side,Manhattan,2018,2895
All Upper East Side,Manhattan,2018,2995
All Upper East Side,Manhattan,2018,2995
All Upper East Side,Manhattan,2018,3000
All Upper East Side,Manhattan,2019,3000
All Upper East Side,Manhattan,2019,3000
All Upper East Side,Manhattan,2019,2995
All Upper East Side,Manhattan,2019,2995
All Upper East Side,Manhattan,2019,3000
All Upper East Side,Manhattan,2019,3050
All Upper East Side,Manhattan,2019,3050
All Upper East Side,Manhattan,2019,2995
All Upper East Side,Manhattan,2019,3000
All Upper East Side,Manhattan,2019,3100
All Upper East Side,Manhattan,2019,3208
All Upper East Side,Manhattan,2019,3295
All Upper East Side,Manhattan,2020,3275
All Upper East Side,Manhattan,2020,3250
All Upper East Side,Manhattan,2020,3250
All Upper East Side,Manhattan,2020,3150
All Upper East Side,Manhattan,2020,3058
All Upper East Side,Manhattan,2020,2950
All Upper East Side,Manhattan,2020,2800
All Upper East Side,Manhattan,2020,2700
All Upper East Side,Manhattan,2020,2650
All Upper East Side,Manhattan,2020,2500
All Upper East Side,Manhattan,2020,2495
All Upper East Side,Manhattan,2020,2500
All Upper East Side,Manhattan,2021,2450
All Upper East Side,Manhattan,2021,2475
All Upper East Side,Manhattan,2021,2400
All Upper East Side,Manhattan,2021,2400
All Upper East Side,Manhattan,2021,2470
All Upper East Side,Manhattan,2021,2495
All Upper East Side,Manhattan,2021,2550
All Upper East Side,Manhattan,2021,2700
All Upper East Side,Manhattan,2021,2850
All Upper East Side,Manhattan,2021,2925
All Upper East Side,Manhattan,2021,3200
All Upper East Side,Manhattan,2021,3300
All Upper East Side,Manhattan,2022,3400
All Upper East Side,Manhattan,2022,3500
All Upper East Side,Manhattan,2022,3400
All Upper East Side,Manhattan,2022,3400
All Upper East Side,Manhattan,2022,3500
All Upper East Side,Manhattan,2022,3500
All Upper East Side,Manhattan,2022,3500
All Upper East Side,Manhattan,2022,3728
All Upper East Side,Manhattan,2022,3725
All Upper East Side,Manhattan,2022,3753
All Upper East Side,Manhattan,2022,3800
All Upper East Side,Manhattan,2022,3795
All Upper Manhattan,Manhattan,2010,1836
All Upper Manhattan,Manhattan,2010,1800
All Upper Manhattan,Manhattan,2010,1795
All Upper Manhattan,Manhattan,2010,1800
All Upper Manhattan,Manhattan,2010,1823
All Upper Manhattan,Manhattan,2010,1850
All Upper Manhattan,Manhattan,2010,1875
All Upper Manhattan,Manhattan,2010,1850
All Upper Manhattan,Manhattan,2010,1898
All Upper Manhattan,Manhattan,2010,1875
All Upper Manhattan,Manhattan,2010,1850
All Upper Manhattan,Manhattan,2010,1850
All Upper Manhattan,Manhattan,2011,1850
All Upper Manhattan,Manhattan,2011,1800
All Upper Manhattan,Manhattan,2011,1875
All Upper Manhattan,Manhattan,2011,1895
All Upper Manhattan,Manhattan,2011,1910
All Upper Manhattan,Manhattan,2011,1950
All Upper Manhattan,Manhattan,2011,1950
All Upper Manhattan,Manhattan,2011,1983
All Upper Manhattan,Manhattan,2011,1995
All Upper Manhattan,Manhattan,2011,1990
All Upper Manhattan,Manhattan,2011,1995
All Upper Manhattan,Manhattan,2011,2000
All Upper Manhattan,Manhattan,2012,2000
All Upper Manhattan,Manhattan,2012,2000
All Upper Manhattan,Manhattan,2012,2000
All Upper Manhattan,Manhattan,2012,2000
All Upper Manhattan,Manhattan,2012,1995
All Upper Manhattan,Manhattan,2012,1963
All Upper Manhattan,Manhattan,2012,2000
All Upper Manhattan,Manhattan,2012,2050
All Upper Manhattan,Manhattan,2012,2000
All Upper Manhattan,Manhattan,2012,1995
All Upper Manhattan,Manhattan,2012,2000
All Upper Manhattan,Manhattan,2012,2000
All Upper Manhattan,Manhattan,2013,1975
All Upper Manhattan,Manhattan,2013,1995
All Upper Manhattan,Manhattan,2013,2000
All Upper Manhattan,Manhattan,2013,2000
All Upper Manhattan,Manhattan,2013,2025
All Upper Manhattan,Manhattan,2013,2100
All Upper Manhattan,Manhattan,2013,2150
All Upper Manhattan,Manhattan,2013,2150
All Upper Manhattan,Manhattan,2013,2100
All Upper Manhattan,Manhattan,2013,2000
All Upper Manhattan,Manhattan,2013,2000
All Upper Manhattan,Manhattan,2013,2000
All Upper Manhattan,Manhattan,2014,2000
All Upper Manhattan,Manhattan,2014,1995
All Upper Manhattan,Manhattan,2014,2000
All Upper Manhattan,Manhattan,2014,2090
All Upper Manhattan,Manhattan,2014,2100
All Upper Manhattan,Manhattan,2014,2100
All Upper Manhattan,Manhattan,2014,2100
All Upper Manhattan,Manhattan,2014,2150
All Upper Manhattan,Manhattan,2014,2100
All Upper Manhattan,Manhattan,2014,2150
All Upper Manhattan,Manhattan,2014,2178
All Upper Manhattan,Manhattan,2014,2190
All Upper Manhattan,Manhattan,2015,2156
All Upper Manhattan,Manhattan,2015,2200
All Upper Manhattan,Manhattan,2015,2200
All Upper Manhattan,Manhattan,2015,2200
All Upper Manhattan,Manhattan,2015,2250
All Upper Manhattan,Manhattan,2015,2291
All Upper Manhattan,Manhattan,2015,2295
All Upper Manhattan,Manhattan,2015,2300
All Upper Manhattan,Manhattan,2015,2266
All Upper Manhattan,Manhattan,2015,2275
All Upper Manhattan,Manhattan,2015,2250
All Upper Manhattan,Manhattan,2015,2250
All Upper Manhattan,Manhattan,2016,2291
All Upper Manhattan,Manhattan,2016,2285
All Upper Manhattan,Manhattan,2016,2300
All Upper Manhattan,Manhattan,2016,2375
All Upper Manhattan,Manhattan,2016,2395
All Upper Manhattan,Manhattan,2016,2350
All Upper Manhattan,Manhattan,2016,2395
All Upper Manhattan,Manhattan,2016,2400
All Upper Manhattan,Manhattan,2016,2400
All Upper Manhattan,Manhattan,2016,2395
