State,Month,DeathToll
Minnesota,Oct-20,69537
Minnesota,Nov-20,88983
Minnesota,Dec-20,140839
Mississippi,Jan-20,0
Mississippi,Feb-20,0
Mississippi,Mar-20,85
Mississippi,Apr-20,4568
Mississippi,May-20,17463
Mississippi,Jun-20,26893
Mississippi,Jul-20,34527
Mississippi,Aug-20,42459
Mississippi,Sep-20,53546
Mississippi,Oct-20,78212
Mississippi,Nov-20,102616
Mississippi,Dec-20,147460
Missouri,Jan-20,0
Missouri,Feb-20,0
Missouri,Mar-20,84
Missouri,Apr-20,3972
Missouri,May-20,15804
Missouri,Jun-20,27298
Missouri,Jul-20,40920
Missouri,Aug-20,64526
Missouri,Sep-20,82113
Missouri,Oct-20,97835
Missouri,Nov-20,107108
Missouri,Dec-20,132830
Montana,Jan-20,0
Montana,Feb-20,0
Montana,Mar-20,10
Montana,Apr-20,277
Montana,May-20,502
Montana,Jun-20,581
Montana,Jul-20,1108
Montana,Aug-20,2562
Montana,Sep-20,4272
Montana,Oct-20,7665
Montana,Nov-20,15855
Montana,Dec-20,25880
North Carolina,Jan-20,0
North Carolina,Feb-20,0
North Carolina,Mar-20,28
North Carolina,Apr-20,4586
North Carolina,May-20,19758
North Carolina,Jun-20,34002
North Carolina,Jul-20,49580
North Carolina,Aug-20,72700
North Carolina,Sep-20,93968
North Carolina,Oct-20,121625
North Carolina,Nov-20,144877
North Carolina,Dec-20,186108
North Dakota,Jan-20,0
North Dakota,Feb-20,0
North Dakota,Mar-20,7
North Dakota,Apr-20,294
North Dakota,May-20,1330
North Dakota,Jun-20,2366
North Dakota,Jul-20,2960
North Dakota,Aug-20,3962
North Dakota,Sep-20,5591
North Dakota,Oct-20,11968
North Dakota,Nov-20,22450
North Dakota,Dec-20,36075
Nebraska,Jan-20,0
Nebraska,Feb-20,0
Nebraska,Mar-20,9
Nebraska,Apr-20,802
Nebraska,May-20,3659
Nebraska,Jun-20,6646
Nebraska,Jul-20,9219
Nebraska,Aug-20,11191
Nebraska,Sep-20,13046
Nebraska,Oct-20,17005
Nebraska,Nov-20,24142
Nebraska,Dec-20,43013
New Hampshire,Jan-20,0
New Hampshire,Feb-20,0
New Hampshire,Mar-20,17
New Hampshire,Apr-20,1009
New Hampshire,May-20,5085
New Hampshire,Jun-20,9573
New Hampshire,Jul-20,12242
New Hampshire,Aug-20,13144
New Hampshire,Sep-20,13080
New Hampshire,Oct-20,14314
New Hampshire,Nov-20,15030
New Hampshire,Dec-20,19497
New Jersey,Jan-20,0
New Jersey,Feb-20,0
New Jersey,Mar-20,1566
New Jersey,Apr-20,128340
New Jersey,May-20,359507
New Jersey,Jun-20,430048
New Jersey,Jul-20,477793
New Jersey,Aug-20,491266
New Jersey,Sep-20,481169
New Jersey,Oct-20,502728
New Jersey,Nov-20,498699
New Jersey,Dec-20,557416
New Mexico,Jan-20,0
New Mexico,Feb-20,0
New Mexico,Mar-20,17
New Mexico,Apr-20,1474
New Mexico,May-20,7739
New Mexico,Jun-20,13154
New Mexico,Jul-20,17513
New Mexico,Aug-20,22130
New Mexico,Sep-20,24979
New Mexico,Oct-20,28959
New Mexico,Nov-20,37824
New Mexico,Dec-20,63204
Nevada,Jan-20,0
Nevada,Feb-20,0
Nevada,Mar-20,217
Nevada,Apr-20,4625
Nevada,May-20,11341
Nevada,Jun-20,14421
Nevada,Jul-20,19814
Nevada,Aug-20,33356
Nevada,Sep-20,44367
Nevada,Oct-20,52550
Nevada,Nov-20,58233
Nevada,Dec-20,81669
New York,Jan-20,0
New York,Feb-20,0
New York,Mar-20,6208
New York,Apr-20,330353
New York,May-20,682785
New York,Jun-20,735767
New York,Jul-20,775428
New York,Aug-20,782624
New York,Sep-20,762100
New York,Oct-20,794728
New York,Nov-20,785758
New York,Dec-20,875244
Ohio,Jan-20,0
Ohio,Feb-20,0
Ohio,Mar-20,213
Ohio,Apr-20,12517
Ohio,May-20,49709
Ohio,Jun-20,77119
Ohio,Jul-20,97128
Ohio,Aug-20,118706
Ohio,Sep-20,134914
Ohio,Oct-20,157317
Ohio,Nov-20,174314
Ohio,Dec-20,240427
Oklahoma,Jan-20,0
Oklahoma,Feb-20,0
Oklahoma,Mar-20,101
Oklahoma,Apr-20,3694
Oklahoma,May-20,8877
Oklahoma,Jun-20,10846
Oklahoma,Jul-20,13871
Oklahoma,Aug-20,20766
Oklahoma,Sep-20,27569
Oklahoma,Oct-20,36040
Oklahoma,Nov-20,46232
Oklahoma,Dec-20,65753
Oregon,Jan-20,0
Oregon,Feb-20,0
Oregon,Mar-20,102
Oregon,Apr-20,1736
Oregon,May-20,4111
Oregon,Jun-20,5351
Oregon,Jul-20,7745
Oregon,Aug-20,11943
Oregon,Sep-20,15289
Oregon,Oct-20,19065
Oregon,Nov-20,23293
Oregon,Dec-20,37711
Pennsylvania,Jan-20,0
Pennsylvania,Feb-20,0
Pennsylvania,Mar-20,253
Pennsylvania,Apr-20,26374
Pennsylvania,May-20,130391
Pennsylvania,Jun-20,186687
Pennsylvania,Jul-20,215603
Pennsylvania,Aug-20,231000
Pennsylvania,Sep-20,237365
Pennsylvania,Oct-20,262385
Pennsylvania,Nov-20,284021
Pennsylvania,Dec-20,407512
Rhode Island,Jan-20,0
Rhode Island,Feb-20,0
Rhode Island,Mar-20,15
Rhode Island,Apr-20,3565
Rhode Island,May-20,15471
Rhode Island,Jun-20,25484
Rhode Island,Jul-20,30536
Rhode Island,Aug-20,31787
Rhode Island,Sep-20,32452
Rhode Island,Oct-20,35781
Rhode Island,Nov-20,38266
Rhode Island,Dec-20,49216
South Carolina,Jan-20,0
South Carolina,Feb-20,0
South Carolina,Mar-20,113
South Carolina,Apr-20,3194
South Carolina,May-20,11656
South Carolina,Jun-20,18424
South Carolina,Jul-20,35108
South Carolina,Aug-20,70086
South Carolina,Sep-20,92881
South Carolina,Oct-20,112970
South Carolina,Nov-20,124600
South Carolina,Dec-20,149492
South Dakota,Jan-20,0
South Dakota,Feb-20,0
South Dakota,Mar-20,14
South Dakota,Apr-20,211
South Dakota,May-20,1279
South Dakota,Jun-20,2282
South Dakota,Jul-20,3471
South Dakota,Aug-20,4707
South Dakota,Sep-20,5746
South Dakota,Oct-20,9767
South Dakota,Nov-20,19937
South Dakota,Dec-20,39406
Tennesse,Jan-20,0
Tennesse,Feb-20,0
Tennesse,Mar-20,65
Tennesse,Apr-20,3672
Tennesse,May-20,8915
Tennesse,Jun-20,14612
Tennesse,Jul-20,25120
Tennesse,Aug-20,43362
Tennesse,Sep-20,63422
Tennesse,Oct-20,89651
Tennesse,Nov-20,119008
Tennesse,Dec-20,177826
Texas,Jan-20,0
Texas,Feb-20,0
Texas,Mar-20,227
Texas,Apr-20,11438
Texas,May-20,39119
Texas,Jun-20,61207
Texas,Jul-20,120655
Texas,Aug-20,304998
Texas,Sep-20,431275
Texas,Oct-20,523085
Texas,Nov-20,590591
Texas,Dec-20,758658
Utah,Jan-20,0
Utah,Feb-20,0
Utah,Mar-20,20
Utah,Apr-20,722
Utah,May-20,2469
Utah,Jun-20,4294
Utah,Jul-20,7258
Utah,Aug-20,11266
Utah,Sep-20,13048
Utah,Oct-20,16573
Utah,Nov-20,21926
Utah,Dec-20,33713
Virginia,Jan-20,0
Virginia,Feb-20,0
Virginia,Mar-20,153
Virginia,Apr-20,7052
Virginia,May-20,30685
Virginia,Jun-20,47056
Virginia,Jul-20,61641
Virginia,Aug-20,74177
Virginia,Sep-20,86483
Virginia,Oct-20,106447
Virginia,Nov-20,115120
Virginia,Dec-20,140241
Vermont,Jan-20,0
Vermont,Feb-20,0
Vermont,Mar-20,94
Vermont,Apr-20,980
Vermont,May-20,1653
Vermont,Jun-20,1663
Vermont,Jul-20,1738
Vermont,Aug-20,1793
Vermont,Sep-20,1740
Vermont,Oct-20,1798
Vermont,Nov-20,1831
Vermont,Dec-20,3169
Washington,Jan-20,0
Washington,Feb-20,13
Washington,Mar-20,2917
Washington,Apr-20,16619
Washington,May-20,30239
Washington,Jun-20,36570
Washington,Jul-20,44440
Washington,Aug-20,54522
Washington,Sep-20,60519
Washington,Oct-20,69269
Washington,Nov-20,76195
Washington,Dec-20,93976
Wisconsin,Jan-20,0
Wisconsin,Feb-20,0
Wisconsin,Mar-20,105
Wisconsin,Apr-20,5323
Wisconsin,May-20,13919
Wisconsin,Jun-20,21053
Wisconsin,Jul-20,26352
Wisconsin,Aug-20,32409
Wisconsin,Sep-20,36868
